,label,NtResumeThread,CreateProcessInternalW,NtTerminateProcess,NtClose,RegQueryValueExW,NtOpenKey,SetUnhandledExceptionFilter,RegOpenKeyExA,OleInitialize,RegOpenKeyExW,NtMapViewOfSection,GetSystemTimeAsFileTime,RegEnumKeyW,NtCreateSection,SetFileAttributesW,GetFileSizeEx,NtOpenProcess,LdrLoadDll,LoadStringW,SetErrorMode,GetSystemInfo,NtDeviceIoControlFile,CopyFileW,NtQueryDirectoryFile,OpenSCManagerW,FindFirstFileExW,LdrGetDllHandle,NtFreeVirtualMemory,NtOpenThread,LdrGetProcedureAddress,NtQueryInformationFile,CryptAcquireContextW,GetVolumePathNamesForVolumeNameW,NtOpenSection,LookupAccountSidW,GetVolumeNameForVolumeMountPointW,NtWriteFile,OpenServiceW,DeleteFileW,CreateThread,NtSetInformationFile,NtCreateFile,GetFileAttributesExW,RegDeleteValueW,GetFileAttributesW,NtDuplicateObject,CreateDirectoryW,GetSystemDirectoryW,NtOpenFile,RegQueryInfoKeyW,NtAllocateVirtualMemory,CoCreateInstance,NtCreateMutant,NtOpenDirectoryObject,NtQueryValueKey,NtReadFile,GetSystemWindowsDirectoryW,NetShareEnum,CreateActCtxW,LdrUnloadDll,RegEnumValueW,RegSetValueExW,RegCloseKey,RegCreateKeyExW,NtUnmapViewOfSection,MoveFileWithProgressW,CoInitializeEx,SetFilePointer,GetComputerNameW,LookupPrivilegeValueW,__exception__,Apicalls,CryptGenKey,CryptEncrypt,GetFileType,CreateToolhelp32Snapshot,RegQueryValueExA,CryptExportKey,ShellExecuteExW,SHGetFolderPathW,GetDiskFreeSpaceW,CoInitializeSecurity,GetFileVersionInfoSizeW,IsDebuggerPresent,UuidCreate,GetSystemMetrics,GetFileVersionInfoW,SetFilePointerEx,WriteConsoleW,GetUserNameExW,NtProtectVirtualMemory,WriteConsoleA,IWbemServices_ExecQuery,GetNativeSystemInfo,Process32FirstW,CoUninitialize,CoCreateInstanceEx,CoGetClassObject,GetUserNameW,InternetCrackUrlW,Process32NextW,RegSetValueExA,DeviceIoControl,RegCreateKeyExA,NtQueueApcThread,OutputDebugStringA,NtQueryAttributesFile,GetShortPathNameW,GetFileInformationByHandleEx,GetUserNameA,WriteProcessMemory,GetForegroundWindow,RtlDecompressBuffer,FindResourceExW,GetComputerNameA,closesocket,NtDelayExecution,GetFileSize,ExitWindowsEx,connect,GetTempPathW,RegEnumKeyExW,WSAStartup,send,NtOpenMutant,CreateJobObjectW,DrawTextExW,MessageBoxTimeoutA,GetFileInformationByHandle,gethostbyname,LoadResource,socket,CryptAcquireContextA,GetSystemDirectoryA,MessageBoxTimeoutW,NtEnumerateValueKey,NtQuerySystemInformation,GetKeyState,SetFileTime,NtCreateKey,GetCursorPos,SetEndOfFile,GlobalMemoryStatusEx,CryptDecodeObjectEx,NtEnumerateKey,NtSetValueKey,NtOpenKeyEx,NtCreateThreadEx,SearchPathW,SHGetSpecialFolderLocation,NtQueryKey,shutdown,CreateServiceW,StartServiceW,FindWindowA,recv,ioctlsocket,NtTerminateThread,FindResourceA,GetTimeZoneInformation,FindResourceW,select,setsockopt,SizeofResource,getaddrinfo,sendto,GetAdaptersAddresses,bind,EnumServicesStatusW,Module32FirstW,CryptHashData,InternetQueryOptionA,GetVolumePathNameW,GetBestInterfaceEx,SetInformationJobObject,CryptCreateHash,FindWindowExW,GetAddrInfoW,ControlService,FindWindowW,OpenSCManagerA,ReadProcessMemory,OpenServiceA,GetAsyncKeyState,GetUserNameExA,SetWindowsHookExW,WSASocketW,LoadStringA,RegEnumKeyExA,DrawTextExA,RegQueryInfoKeyA,RegDeleteKeyA,RegEnumValueA,GetDiskFreeSpaceExW,FindResourceExA,CopyFileA,RemoveDirectoryW,NtSetContextThread,NtWriteVirtualMemory,SetWindowsHookExA,NtGetContextThread,EnumWindows,RtlAddVectoredExceptionHandler,GlobalMemoryStatus,RtlAddVectoredContinueHandler,PRF,WNetGetProviderNameW,InternetCrackUrlA,HttpOpenRequestA,HttpSendRequestA,InternetOpenA,InternetCloseHandle,InternetSetOptionA,InternetConnectA,getsockname,RtlRemoveVectoredExceptionHandler,InternetGetConnectedState,CertControlStore,listen,CertCreateCertificateContext,CertOpenStore,CreateDirectoryExW,WSASend,HttpQueryInfoA,CryptUnprotectData,InternetGetConnectedStateExA,GetSystemWindowsDirectoryA,CreateRemoteThread,ObtainUserAgentString,recvfrom,WSARecv,SetFileInformationByHandle,CryptProtectData,StartServiceA,RtlCompressBuffer,SetStdHandle,WSASocketA,InternetReadFile,DeleteUrlCacheEntryA,InternetOpenUrlA,URLDownloadToFileW,NtReadVirtualMemory,HttpSendRequestW,GetAdaptersInfo,Module32NextW,UnhookWindowsHookEx,Thread32First,CryptDecrypt,Thread32Next,accept,CreateServiceA,FindFirstFileExA,FindWindowExA,InternetOpenUrlW,InternetOpenW,NotifyBootConfigStatus,timeGetTime,GetFileVersionInfoSizeExW,GetFileVersionInfoExW,RegDeleteValueA,GetKeyboardState,NtSuspendThread,SendNotifyMessageW,InternetConnectW,RegisterHotKey,NtDeleteKey,EncryptMessage,DecryptMessage,NtDeleteValueKey,CopyFileExW,RegDeleteKeyW,HttpOpenRequestW,InternetSetStatusCallback,CryptProtectMemory,NtDeleteFile,InternetWriteFile,IWbemServices_ExecMethod,RemoveDirectoryA,WSAConnect,ReadCabinetState,SendNotifyMessageA,NtQueryMultipleValueKey,DeleteUrlCacheEntryW,NetGetJoinInformation,__anomaly__,CertOpenSystemStoreW,NtLoadDriver,CreateRemoteThreadEx,DeleteService,EnumServicesStatusA,NtQueryFullAttributesFile,NetUserGetInfo,NtCreateUserProcess,DnsQuery_A,system,CryptUnprotectMemory,CertOpenSystemStoreA,JsGlobalObjectDefaultEvalHelper,AssignProcessToJobObject,TaskDialog,OleConvertOLESTREAMToIStorage,COleScript_Compile
5251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3242,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3945,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2719,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4782,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3267,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
